               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.021235,           0.0086602,            0.001729,               0.998,             0.99661,             0.99499,             0.83375,            0.016228,            0.007301,           0.0012993,           0.0067555,           0.0067555,           0.0067555
                 125,            0.021396,           0.0092565,           0.0017219,             0.99819,             0.99661,             0.99499,             0.82854,            0.016349,           0.0073537,           0.0012828,           0.0067101,           0.0067101,           0.0067101
                 126,            0.019754,           0.0085636,           0.0018919,             0.99842,             0.99437,             0.99499,             0.83448,            0.015841,           0.0072185,           0.0013271,           0.0066647,           0.0066647,           0.0066647
                 127,             0.02022,             0.00874,           0.0018181,             0.99661,             0.99618,             0.99499,              0.8213,            0.016587,           0.0072499,           0.0012898,           0.0066191,           0.0066191,           0.0066191
                 128,            0.020924,           0.0089381,            0.002145,             0.99656,             0.99549,             0.99498,             0.83592,            0.015758,           0.0071474,           0.0012529,           0.0065734,           0.0065734,           0.0065734
                 129,            0.020553,           0.0086955,           0.0019954,             0.99884,             0.99549,             0.99499,             0.83523,              0.0157,           0.0072004,           0.0012364,           0.0065276,           0.0065276,           0.0065276
                 130,            0.020123,           0.0089012,           0.0019286,             0.99886,             0.99594,               0.995,             0.84293,            0.016003,           0.0072142,           0.0012114,           0.0064816,           0.0064816,           0.0064816
                 131,            0.021025,           0.0088747,           0.0017736,             0.99796,             0.99661,             0.99499,             0.84187,             0.01567,           0.0071214,           0.0012888,           0.0064356,           0.0064356,           0.0064356
                 132,            0.020353,           0.0087056,           0.0018482,             0.99887,             0.99621,               0.995,               0.846,            0.015445,           0.0070466,           0.0012798,           0.0063895,           0.0063895,           0.0063895
                 133,             0.01877,            0.008558,           0.0017935,             0.99998,             0.99533,               0.995,             0.84626,            0.014913,           0.0069086,           0.0013155,           0.0063432,           0.0063432,           0.0063432
                 134,            0.019797,           0.0087081,           0.0015597,              0.9974,             0.99661,             0.99499,             0.82955,            0.016119,           0.0070431,           0.0012349,           0.0062969,           0.0062969,           0.0062969
                 135,             0.02001,           0.0087524,           0.0018623,             0.99851,             0.99661,             0.99499,             0.82725,            0.015632,           0.0071481,           0.0011986,           0.0062505,           0.0062505,           0.0062505
                 136,            0.020582,           0.0090254,           0.0019232,             0.99834,             0.99661,             0.99498,             0.84702,            0.015098,           0.0069506,           0.0011804,            0.006204,            0.006204,            0.006204
                 137,            0.019727,           0.0086313,           0.0017632,             0.99884,             0.99661,             0.99499,             0.84238,             0.01505,           0.0069732,           0.0012595,           0.0061574,           0.0061574,           0.0061574
                 138,             0.01904,           0.0083084,           0.0015785,             0.99854,             0.99661,               0.995,             0.83316,            0.015454,           0.0070746,           0.0013369,           0.0061107,           0.0061107,           0.0061107
